                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6783,                 3.7302,                 1.6628,                0.18877,                0.26999,                0.17989,                0.11397,                 1.2167,                 2.5084,                 1.3606,               0.070536,              0.0032738,              0.0032738
                      1,                 1.0144,                 2.0097,                 1.2031,                0.37871,                0.44307,                0.40947,                0.28553,                0.92144,                  1.782,                 1.1127,                0.04047,              0.0065417,              0.0065417
                      2,                0.93887,                 1.6668,                 1.1201,                0.36073,                0.39787,                0.33159,                0.20904,                 1.1772,                 2.0731,                  1.229,               0.010339,              0.0097437,              0.0097437
                      3,                0.94225,                 1.5274,                 1.1139,                0.49042,                0.54169,                0.52004,                0.37402,                0.88053,                 1.4171,                 1.0932,               0.009703,               0.009703,               0.009703
                      4,                0.92469,                 1.4136,                 1.1022,                0.46215,                0.57821,                0.54085,                 0.3908,                0.87773,                 1.3788,                 1.0949,               0.009703,               0.009703,               0.009703
                      5,                0.89997,                 1.3619,                 1.1006,                0.53465,                0.59756,                0.58203,                 0.4326,                0.83323,                 1.2934,                 1.0715,               0.009604,               0.009604,               0.009604
                      6,                0.88375,                 1.3091,                 1.0911,                0.56011,                0.63074,                0.60694,                0.45268,                0.81321,                 1.2245,                 1.0447,               0.009505,               0.009505,               0.009505
                      7,                0.88402,                 1.2878,                 1.0883,                0.56758,                0.61978,                0.59943,                 0.4419,                0.82695,                 1.2535,                 1.0535,               0.009406,               0.009406,               0.009406
                      8,                0.86934,                 1.2345,                 1.0796,                0.57896,                0.62465,                0.62637,                0.47668,                 0.7926,                 1.1906,                 1.0415,               0.009307,               0.009307,               0.009307
                      9,                0.86882,                 1.2034,                 1.0781,                0.63724,                0.61558,                0.63903,                0.48317,                0.80064,                 1.1906,                 1.0534,               0.009208,               0.009208,               0.009208
                     10,                0.84354,                 1.1912,                 1.0677,                0.63536,                0.60431,                0.65126,                0.49686,                0.79479,                 1.1283,                 1.0535,               0.009109,               0.009109,               0.009109
                     11,                0.83714,                 1.1628,                 1.0627,                0.60559,                0.62462,                0.64277,                0.49151,                0.78787,                 1.1376,                 1.0418,                0.00901,                0.00901,                0.00901
                     12,                0.83618,                 1.1319,                 1.0598,                 0.6121,                0.64403,                0.64897,                0.49325,                 0.7956,                 1.1249,                 1.0439,               0.008911,               0.008911,               0.008911
                     13,                0.81334,                  1.083,                 1.0463,                0.61341,                0.65456,                0.66519,                0.51462,                0.77833,                  1.075,                  1.033,               0.008812,               0.008812,               0.008812
                     14,                0.80027,                 1.0685,                 1.0391,                0.65418,                0.62122,                0.67416,                0.52014,                0.77022,                 1.0942,                 1.0271,               0.008713,               0.008713,               0.008713
